"","lizard_id","position","species","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","temp","cort"
"68",2105,"C4","delicata","B_23","CL569_22",59,"1/4/2023","13/4/2023",12,"Blue",2,"L",NA,"",0,2,"C",1,1,"","Cold","CORT"
"69",1303,"D2","delicata","B_23","CL350_22",113,"30/3/2023","13/4/2023",14,"Red",2,"C",NA,"",0,2,"R",1,1,"","Cold","CORT"
"70",1531,"D2","delicata","A_23","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",2,"R",0,"",1,2,"C",1,1,"","Cold","Control"
"71",1166,"D4","delicata","A_28","CL312_22",143,"4/4/2023","13/4/2023",9,"Red",2,"R",0,"",1,2,"R",0,1,"","Hot","Control"
"72",1192,"D4","delicata","A_23","CL317_22",120,"29/3/2023","13/4/2023",15,"Red",2,"C",0,"",1,2,"L",1,1,"","Cold","Control"
"73",1229,"D4","delicata","B_28","CL326_22",129,"29/3/2023","13/4/2023",15,"Red",2,"L",NA,"More than one cricket eaten",1,2,"L",0,1,"","Hot","CORT"
"74",1257,"D4","delicata","B_23","CL334_22",111,"27/3/2023","13/4/2023",17,"Blue",2,"L",NA,"",0,2,"C",1,1,"","Cold","CORT"
"75",1174,"E2","delicata","A_23","CL313_22",132,"31/3/2023","13/4/2023",13,"Red",2,"L",0,"",1,2,"R",1,1,"","Cold","Control"
"76",1402,"E2","delicata","A_28","CL377_22",118,"1/4/2023","13/4/2023",12,"Red",2,"R",0,"",0,2,"L",0,1,"","Hot","Control"
"77",2255,"E2","delicata","B_28","CL607_22",66,"2/4/2023","13/4/2023",11,"Blue",2,"C",NA,"",0,2,"C",0,1,"","Hot","CORT"
"78",1172,"E4","delicata","B_28","CL313_22",148,"10/4/2023","13/4/2023",3,"Red",2,"C",NA,"",0,2,"R",1,0,"Correct choice but did not eat","Hot","CORT"
"79",1239,"E4","delicata","A_23","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",2,"C",NA,"",0,2,"L",0,1,"","Cold","Control"
"80",2346,"E4","delicata","B_23","CL633_23",41,"11/4/2023","13/4/2023",2,"Blue",2,"R",NA,"",0,2,"C",0,0,"","Cold","CORT"
"81",1230,"F1","delicata","B_28","CL327_22",132,"29/3/2023","13/4/2023",15,"Blue",2,"R",0,"",1,2,"R",0,1,"","Hot","CORT"
"82",1487,"F1","delicata","A_23","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",2,"L",NA,"",0,2,"C",0,0,"","Cold","Control"
"83",2351,"F1","delicata","A_28","CL634_23",59,"6/4/2023","13/4/2023",7,"Blue",2,"L",1,"",1,2,"L",0,1,"","Hot","Control"
"84",1182,"F3","delicata","B_23","CL315_22",122,"29/3/2023","13/4/2023",15,"Red",2,"C",0,"",1,2,"L",0,1,"","Cold","CORT"
"85",1424,"F3","delicata","A_23","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",2,"L",NA,"",1,2,"C",1,1,"","Cold","Control"
"86",2106,"F3","delicata","A_28","CL569_22",78,"9/4/2023","13/4/2023",4,"Blue",2,"R",NA,"More than one cricket eaten",0,2,"R",0,0,"","Hot","Control"
"87",2486,"F3","delicata","B_28","CL677_23",45,"2/4/2023","13/4/2023",11,"Blue",2,"C",1,"",1,2,"C",0,0,"","Hot","CORT"
