"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso","temp","cort"
"52",1443,"E3","guichenoti","Male","A_23","CL388_22",94,"20/3/2023","13/4/2023",24,"Red",1,"C",0,"",0,1,"L",0,1,"",1,"Cold","Control"
"53",2164,"E3","guichenoti","Female","B_23","CL584_22",48,"20/3/2023","13/4/2023",24,"Blue",1,"L",1,"",1,1,"L",0,0,"",1,"Cold","CORT"
"54",1172,"E4","delicata","Male","B_28","CL313_22",148,"10/4/2023","13/4/2023",3,"Red",1,"R",NA,"Wrong feeder",0,1,"C",1,1,"",NA,"Hot","CORT"
"55",1239,"E4","delicata","Female","A_23","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",1,"C",NA,"",0,1,"R",0,1,"",NA,"Cold","Control"
"56",2346,"E4","delicata","Female","B_23","CL633_23",41,"11/4/2023","13/4/2023",2,"Blue",1,"L",NA,"",0,1,"L",0,1,"",NA,"Cold","CORT"
"57",1230,"F1","delicata","Female","B_28","CL327_22",132,"29/3/2023","13/4/2023",15,"Blue",1,"L",1,"",1,1,"C",1,1,"",1,"Hot","CORT"
"58",1487,"F1","delicata","Male","A_23","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",1,"R",NA,"",0,1,"L",1,1,"",NA,"Cold","Control"
"59",2351,"F1","delicata","Male","A_28","CL634_23",59,"6/4/2023","13/4/2023",7,"Blue",1,"C",1,"",1,1,"R",0,1,"",1,"Hot","Control"
"60",1419,"F2","guichenoti","Female","A_28","CL382_22",118,"20/3/2023","13/4/2023",24,"Blue",1,"L",1,"",1,1,NA,NA,0,"No test made",1,"Hot","Control"
"61",1534,"F2","guichenoti","Female","A_23","CL415_22",85,"20/3/2023","13/4/2023",24,"Red",1,"R",0,"",0,1,"C",0,1,"",0,"Cold","Control"
"62",1580,"F2","guichenoti","Female","B_28","CL428_22",99,"20/3/2023","13/4/2023",24,"Red",1,"R",NA,"",0,1,"L",0,1,"",NA,"Hot","CORT"
"63",1613,"F2","guichenoti","Male","B_23","CL439_22",80,"29/3/2023","13/4/2023",15,"Red",1,"C",0,"",0,1,"R",1,1,"",1,"Cold","CORT"
"64",1182,"F3","delicata","Male","B_23","CL315_22",122,"29/3/2023","13/4/2023",15,"Red",1,"C",0,"",0,1,"L",0,1,"",1,"Cold","CORT"
"65",1424,"F3","delicata","Female","A_23","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",1,"C",0,"",1,1,"R",0,1,"",0,"Cold","Control"
"66",2486,"F3","delicata","Female","B_28","CL677_23",45,"2/4/2023","13/4/2023",11,"Blue",1,"L",1,"",1,1,"L",0,0,"",1,"Hot","CORT"
"67",1340,"F4","guichenoti","Female","B_28","CL360_22",122,"6/4/2023","13/4/2023",7,"Red",1,"L",0,"",0,1,"R",0,1,"",1,"Hot","CORT"
"68",1417,"F4","guichenoti","Female","B_28","CL381_22",97,"20/3/2023","13/4/2023",24,"Red",1,"L",NA,"",0,1,"L",1,1,"",NA,"Hot","CORT"
"69",1467,"F4","guichenoti","Female","A_28","CL397_22",111,"20/3/2023","13/4/2023",24,"Red",1,"R",0,"",1,1,"L",0,1,"",1,"Hot","Control"
"70",1421,"G1","guichenoti","Male","B_23","CL382_22",97,"20/3/2023","13/4/2023",24,"Red",1,"L",NA,"",0,1,"L",0,1,"",NA,"Cold","CORT"
"71",1674,"G1","guichenoti","Female","B_23","CL455_22",94,"6/4/2023","13/4/2023",7,"Red",1,"L",0,"",0,1,"R",1,1,"",1,"Cold","CORT"
"72",2009,"G1","guichenoti","Male","A_28","CL542_22",78,"3/4/2023","13/4/2023",10,"Blue",1,"L",NA,"",0,1,"C",0,1,"",NA,"Hot","Control"
"73",1258,"G2","delicata","Female","A_28","CL334_22",129,"28/3/2023","13/4/2023",16,"Blue",1,"L",1,"",1,1,"C",0,0,"",1,"Hot","Control"
"74",1328,"G2","delicata","Male","A_23","CL357_22",108,"5/4/2023","13/4/2023",8,"Red",1,"L",0,"",0,1,"L",0,1,"",1,"Cold","Control"
"75",1408,"G2","delicata","Female","B_28","CL379_22",120,"28/3/2023","13/4/2023",16,"Red",1,"L",0,"",0,1,"R",1,1,"",1,"Hot","CORT"
"76",1360,"G3","guichenoti","Female","A_28","CL366_22",120,"21/3/2023","13/4/2023",23,"Red",1,"R",NA,"",0,1,"R",0,1,"",NA,"Hot","Control"
"77",1795,"G3","guichenoti","Female","A_23","CL489_22",66,"5/4/2023","13/4/2023",8,"Blue",1,"R",1,"",1,1,"R",1,1,"",1,"Cold","Control"
"78",2081,"G3","guichenoti","Male","B_23","CL562_22",52,"3/4/2023","13/4/2023",10,"Blue",1,"R",0,"",1,1,"R",0,1,"",0,"Cold","CORT"
"79",1223,"G4","delicata","Female","A_23","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",1,"R",NA,"",0,1,"L",0,1,"",NA,"Cold","Control"
"80",1334,"G4","delicata","Female","A_28","CL358_22",127,"31/3/2023","13/4/2023",13,"Blue",1,"R",0,"",0,1,"L",0,1,"",0,"Hot","Control"
"81",1619,"G4","delicata","Female","B_23","CL440_22",80,"7/4/2023","13/4/2023",6,"Red",1,"R",0,"",1,1,"R",0,1,"",1,"Cold","CORT"
"82",1255,"A1","delicata","Male","A_23","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",2,"C",NA,"",0,2,"C",1,1,"",NA,"Cold","Control"
"83",1382,"A1","delicata","Female","B_28","CL373_22",118,"1/4/2023","13/4/2023",12,"Blue",2,"R",1,"",1,2,"C",0,0,"",NA,"Hot","CORT"
"84",1410,"A1","delicata","Female","A_28","CL379_22",120,"28/3/2023","13/4/2023",16,"Red",2,"L",0,"",0,2,"L",0,1,"",NA,"Hot","Control"
"85",2073,"A1","delicata","Male","B_23","CL560_22",57,"22/3/2023","13/4/2023",22,"Blue",2,"C",1,"",1,2,"R",0,1,"",NA,"Cold","CORT"
"86",1373,"A2","guichenoti","Female","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"Blue",2,"R",1,"",1,2,"C",0,1,"",NA,"Hot","Control"
"87",1478,"A2","guichenoti","Male","B_23","CL400_22",85,"23/3/2023","13/4/2023",21,"Blue",2,"R",NA,"",0,2,"R",0,1,"",NA,"Cold","CORT"
"88",2298,"A2","guichenoti","Female","B_28","CL619_23",62,"26/3/2023","13/4/2023",18,"Blue",2,"C",1,"",1,2,"L",0,0,"",NA,"Hot","CORT"
"89",1207,"A3","delicata","Female","B_23","CL320_22",118,"30/3/2023","13/4/2023",14,"Red",2,"R",0,"",0,2,"R",0,1,"",NA,"Cold","CORT"
"90",1381,"A3","delicata","Male","A_28","CL373_22",122,"30/3/2023","13/4/2023",14,"Red",2,"C",NA,"",0,2,"C",1,1,"",NA,"Hot","Control"
"91",1401,"A3","delicata","Female","B_28","CL377_22",115,"1/4/2023","13/4/2023",12,"Red",2,"R",0,"",1,2,"L",0,0,"",NA,"Hot","CORT"
"92",1283,"A4","guichenoti","Female","A_23","CL344_22",106,"28/3/2023","13/4/2023",16,"Red",2,"C",NA,"",0,2,"C",0,1,"",NA,"Cold","Control"
