"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","first_non_na","Associative_Trial"
"111",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",24,"L",1,"",1,24,"L",1,1,"",6,19
"112",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",24,"R",0,"",1,24,"C",1,1,"",8,17
"113",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",24,"C",1,"",1,24,"L",1,1,"Frozen crickets",8,17
"114",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",24,"R",1,"",1,24,"R",0,1,"",1,24
"115",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",24,"C",0,"",1,24,"L",0,1,"",10,15
"116",1531,"D2","delicata","Male","Control Cold","CL414_22",85,"27/3/2023","13/4/2023",17,"Blue",24,"R",0,"",1,24,"L",1,1,"",1,24
"117",1223,"G4","delicata","Female","Control Cold","CL325_22",115,"28/3/2023","13/4/2023",16,"Blue",25,"R",1,"",1,25,"R",0,1,"",6,20
"118",1239,"E4","delicata","Female","Control Cold","CL329_22",113,"30/3/2023","13/4/2023",14,"Blue",25,"L",1,"",1,25,"L",0,1,"",8,18
"119",1255,"A1","delicata","Male","Control Cold","CL334_22",111,"31/3/2023","13/4/2023",13,"Blue",25,"C",1,"",1,25,"C",1,1,"",8,18
"120",1424,"F3","delicata","Female","Control Cold","CL383_22",97,"31/3/2023","13/4/2023",13,"Blue",25,"C",1,"",1,25,"L",1,1,"",1,25
"121",1487,"F1","delicata","Male","Control Cold","CL402_22",85,"20/3/2023","13/4/2023",24,"Blue",25,"C",0,"",1,25,"C",1,1,"",10,16
