"","trial_associative","FC_associative","cort","temp","group","lizard_id","cond__","effect1__","estimate__","se__","lower__","upper__"
"19",7.18181818181818,0.612787356321839,"Control","Cold","Blue",NA,"1",7.18181818181818,0.691192776411312,0.0649821046064487,0.545638715123746,0.808133907942021
"20",7.52525252525253,0.612787356321839,"Control","Cold","Blue",NA,"1",7.52525252525253,0.69136470532655,0.0641725785431317,0.548129377868393,0.807136399739314
"21",7.86868686868687,0.612787356321839,"Control","Cold","Blue",NA,"1",7.86868686868687,0.691764185966058,0.0634663513584313,0.550205768755184,0.806197766466958
"22",8.21212121212121,0.612787356321839,"Control","Cold","Blue",NA,"1",8.21212121212121,0.69182352797502,0.0628076752864923,0.55202395108579,0.80557515210011
"23",8.55555555555556,0.612787356321839,"Control","Cold","Blue",NA,"1",8.55555555555556,0.692029803841661,0.0620354261002559,0.55407726662959,0.804743200159284
"24",8.8989898989899,0.612787356321839,"Control","Cold","Blue",NA,"1",8.8989898989899,0.692190626495968,0.0613448010093811,0.556758950422294,0.804050551121599
"25",9.24242424242424,0.612787356321839,"Control","Cold","Blue",NA,"1",9.24242424242424,0.692419037892877,0.0607579967345916,0.558657779100147,0.803210965745332
"26",9.58585858585858,0.612787356321839,"Control","Cold","Blue",NA,"1",9.58585858585858,0.692693349568105,0.0599507930593586,0.561042818513818,0.802257673847436
"27",9.92929292929293,0.612787356321839,"Control","Cold","Blue",NA,"1",9.92929292929293,0.693066778734071,0.0594718353473945,0.563139988976776,0.801562584013841
"28",10.2727272727273,0.612787356321839,"Control","Cold","Blue",NA,"1",10.2727272727273,0.693232705534207,0.0587382568300591,0.564726199019849,0.800705825872562
"29",10.6161616161616,0.612787356321839,"Control","Cold","Blue",NA,"1",10.6161616161616,0.693547449081889,0.0581638298149902,0.567635277659471,0.800032668917662
"30",10.959595959596,0.612787356321839,"Control","Cold","Blue",NA,"1",10.959595959596,0.694175372222674,0.0572964684640539,0.568140758903,0.799252317016957
"31",11.3030303030303,0.612787356321839,"Control","Cold","Blue",NA,"1",11.3030303030303,0.694691780932165,0.0562723129421688,0.569356349866459,0.798821607154932
"32",11.6464646464646,0.612787356321839,"Control","Cold","Blue",NA,"1",11.6464646464646,0.694890502314612,0.0559189444317623,0.570233919300187,0.79762544083238
"33",11.989898989899,0.612787356321839,"Control","Cold","Blue",NA,"1",11.989898989899,0.695282546698274,0.0554403591542438,0.572064208062844,0.797016416608151
"34",12.3333333333333,0.612787356321839,"Control","Cold","Blue",NA,"1",12.3333333333333,0.695849571279705,0.0549558455441724,0.574243531693799,0.796852018213963
"35",12.6767676767677,0.612787356321839,"Control","Cold","Blue",NA,"1",12.6767676767677,0.696096921740855,0.0540569296504083,0.576366682602159,0.79652760392394
"36",13.020202020202,0.612787356321839,"Control","Cold","Blue",NA,"1",13.020202020202,0.696449975772164,0.0533830155490754,0.578586878122663,0.795545944840092
"37",13.3636363636364,0.612787356321839,"Control","Cold","Blue",NA,"1",13.3636363636364,0.696771497268506,0.052530475397526,0.580249587489989,0.794713223831856
"38",13.7070707070707,0.612787356321839,"Control","Cold","Blue",NA,"1",13.7070707070707,0.696763462481736,0.0519782218276636,0.581262906701963,0.794190531659974
"39",14.0505050505051,0.612787356321839,"Control","Cold","Blue",NA,"1",14.0505050505051,0.697045818284871,0.0512138216723702,0.581656692740685,0.793282823095637
"40",14.3939393939394,0.612787356321839,"Control","Cold","Blue",NA,"1",14.3939393939394,0.697533659786006,0.0506450865563472,0.582790826069598,0.793210307531792
"41",14.7373737373737,0.612787356321839,"Control","Cold","Blue",NA,"1",14.7373737373737,0.697886954745262,0.050374146276498,0.58451121321274,0.792671552233219
"42",15.0808080808081,0.612787356321839,"Control","Cold","Blue",NA,"1",15.0808080808081,0.698438224161824,0.0499310034429864,0.586506343665423,0.792422044493011
"43",15.4242424242424,0.612787356321839,"Control","Cold","Blue",NA,"1",15.4242424242424,0.698902731338406,0.0495572379256678,0.588472094996751,0.79229696013381
"44",15.7676767676768,0.612787356321839,"Control","Cold","Blue",NA,"1",15.7676767676768,0.699211934398869,0.0493821339586969,0.590021820650682,0.791924297616916
"45",16.1111111111111,0.612787356321839,"Control","Cold","Blue",NA,"1",16.1111111111111,0.699344147948764,0.0492804698008583,0.590964113581337,0.791527588672681
"46",16.4545454545455,0.612787356321839,"Control","Cold","Blue",NA,"1",16.4545454545455,0.699575718565841,0.049143605444343,0.59264731290208,0.790881447688268
"47",16.7979797979798,0.612787356321839,"Control","Cold","Blue",NA,"1",16.7979797979798,0.699885075977273,0.0487997331705975,0.593808367665811,0.790595392864929
"48",17.1414141414141,0.612787356321839,"Control","Cold","Blue",NA,"1",17.1414141414141,0.700297028859301,0.0482485368581764,0.594657974393586,0.790476834873182
"49",17.4848484848485,0.612787356321839,"Control","Cold","Blue",NA,"1",17.4848484848485,0.700687177654441,0.047900032636139,0.595366951446609,0.790492096853539
"50",17.8282828282828,0.612787356321839,"Control","Cold","Blue",NA,"1",17.8282828282828,0.70109515006508,0.0473227052939653,0.596303334767413,0.79019461705992
"51",18.1717171717172,0.612787356321839,"Control","Cold","Blue",NA,"1",18.1717171717172,0.701658137277887,0.0476978472100394,0.598026500763819,0.789664117101172
"52",18.5151515151515,0.612787356321839,"Control","Cold","Blue",NA,"1",18.5151515151515,0.702013686370959,0.0475750807208566,0.599794932643673,0.789423673086635
"53",18.8585858585859,0.612787356321839,"Control","Cold","Blue",NA,"1",18.8585858585859,0.702127841983892,0.0477134934404504,0.60092830435573,0.789144562204655
"54",19.2020202020202,0.612787356321839,"Control","Cold","Blue",NA,"1",19.2020202020202,0.702328140595258,0.0474539503929976,0.601670959870672,0.788835198410474
"55",19.5454545454545,0.612787356321839,"Control","Cold","Blue",NA,"1",19.5454545454545,0.702317986644079,0.0473438611656378,0.602471694443907,0.78844228375424
