"","species","group","trt","Trial","prop_correct"
"213","italic('L. delicata')","Blue","Control-Cold",15,0.666666666666667
"214","italic('L. delicata')","Blue","Control-Cold",16,0.666666666666667
"215","italic('L. delicata')","Blue","Control-Cold",17,0.833333333333333
"216","italic('L. delicata')","Blue","Control-Cold",18,0.833333333333333
"217","italic('L. delicata')","Blue","Control-Cold",19,0.666666666666667
"218","italic('L. delicata')","Blue","Control-Cold",20,0.833333333333333
"219","italic('L. delicata')","Blue","Control-Cold",21,0.666666666666667
"220","italic('L. delicata')","Blue","Control-Cold",22,0.833333333333333
"221","italic('L. delicata')","Blue","Control-Cold",23,0.5
"222","italic('L. delicata')","Blue","Control-Cold",24,0.666666666666667
"223","italic('L. delicata')","Blue","Control-Cold",25,0.666666666666667
"224","italic('L. delicata')","Blue","Control-Cold",26,1
"225","italic('L. delicata')","Blue","Control-Cold",27,0.666666666666667
"226","italic('L. delicata')","Blue","Control-Cold",28,0.666666666666667
"227","italic('L. delicata')","Blue","Control-Cold",29,0.5
"228","italic('L. delicata')","Blue","Control-Cold",30,0.666666666666667
"229","italic('L. delicata')","Blue","Control-Cold",31,0.833333333333333
"230","italic('L. delicata')","Blue","Control-Cold",32,0.666666666666667
"231","italic('L. delicata')","Blue","Control-Cold",33,0.666666666666667
"232","italic('L. delicata')","Blue","Control-Hot",1,0.666666666666667
"233","italic('L. delicata')","Blue","Control-Hot",2,0
"234","italic('L. delicata')","Blue","Control-Hot",3,0.75
"235","italic('L. delicata')","Blue","Control-Hot",4,1
"236","italic('L. delicata')","Blue","Control-Hot",5,0
"237","italic('L. delicata')","Blue","Control-Hot",6,0.25
"238","italic('L. delicata')","Blue","Control-Hot",7,0.8
"239","italic('L. delicata')","Blue","Control-Hot",8,1
"240","italic('L. delicata')","Blue","Control-Hot",9,0.4
"241","italic('L. delicata')","Blue","Control-Hot",10,0.666666666666667
"242","italic('L. delicata')","Blue","Control-Hot",11,0.5
"243","italic('L. delicata')","Blue","Control-Hot",12,0.833333333333333
"244","italic('L. delicata')","Blue","Control-Hot",13,0.5
"245","italic('L. delicata')","Blue","Control-Hot",14,0.833333333333333
"246","italic('L. delicata')","Blue","Control-Hot",15,0.666666666666667
"247","italic('L. delicata')","Blue","Control-Hot",16,0.666666666666667
"248","italic('L. delicata')","Blue","Control-Hot",17,1
"249","italic('L. delicata')","Blue","Control-Hot",18,0.5
"250","italic('L. delicata')","Blue","Control-Hot",19,0.833333333333333
"251","italic('L. delicata')","Blue","Control-Hot",20,1
"252","italic('L. delicata')","Blue","Control-Hot",21,0.666666666666667
"253","italic('L. delicata')","Blue","Control-Hot",22,0.5
"254","italic('L. delicata')","Blue","Control-Hot",23,0.166666666666667
"255","italic('L. delicata')","Blue","Control-Hot",24,0.4
"256","italic('L. delicata')","Blue","Control-Hot",25,0.8
"257","italic('L. delicata')","Blue","Control-Hot",26,0.666666666666667
"258","italic('L. delicata')","Blue","Control-Hot",27,0.833333333333333
"259","italic('L. delicata')","Blue","Control-Hot",28,0.8
"260","italic('L. delicata')","Blue","Control-Hot",29,0.833333333333333
"261","italic('L. delicata')","Blue","Control-Hot",30,0.833333333333333
"262","italic('L. delicata')","Blue","Control-Hot",31,0.666666666666667
"263","italic('L. delicata')","Blue","Control-Hot",32,0.833333333333333
"264","italic('L. delicata')","Blue","Control-Hot",33,0.666666666666667
"265","italic('L. guichenoti')","Red","CORT-Cold",1,0
"266","italic('L. guichenoti')","Red","CORT-Cold",2,0
"267","italic('L. guichenoti')","Red","CORT-Cold",3,0
"268","italic('L. guichenoti')","Red","CORT-Cold",4,0.333333333333333
"269","italic('L. guichenoti')","Red","CORT-Cold",5,0.333333333333333
"270","italic('L. guichenoti')","Red","CORT-Cold",6,0.333333333333333
"271","italic('L. guichenoti')","Red","CORT-Cold",7,0.333333333333333
"272","italic('L. guichenoti')","Red","CORT-Cold",8,0.25
"273","italic('L. guichenoti')","Red","CORT-Cold",9,0.333333333333333
"274","italic('L. guichenoti')","Red","CORT-Cold",10,0.25
"275","italic('L. guichenoti')","Red","CORT-Cold",11,0.25
"276","italic('L. guichenoti')","Red","CORT-Cold",12,0.25
"277","italic('L. guichenoti')","Red","CORT-Cold",13,0.25
"278","italic('L. guichenoti')","Red","CORT-Cold",14,0.25
"279","italic('L. guichenoti')","Red","CORT-Cold",15,0.75
"280","italic('L. guichenoti')","Red","CORT-Cold",16,0.75
"281","italic('L. guichenoti')","Red","CORT-Cold",17,0.75
"282","italic('L. guichenoti')","Red","CORT-Cold",18,1
"283","italic('L. guichenoti')","Red","CORT-Cold",19,0.5
"284","italic('L. guichenoti')","Red","CORT-Cold",20,1
"285","italic('L. guichenoti')","Red","CORT-Cold",21,0.75
"286","italic('L. guichenoti')","Red","CORT-Cold",22,0.75
"287","italic('L. guichenoti')","Red","CORT-Cold",23,1
"288","italic('L. guichenoti')","Red","CORT-Cold",24,0.5
"289","italic('L. guichenoti')","Red","CORT-Cold",25,0.75
"290","italic('L. guichenoti')","Red","CORT-Cold",26,0.5
"291","italic('L. guichenoti')","Red","CORT-Cold",27,0.75
"292","italic('L. guichenoti')","Red","CORT-Cold",28,0.5
"293","italic('L. guichenoti')","Red","CORT-Cold",29,0.5
"294","italic('L. guichenoti')","Red","CORT-Cold",30,0.75
"295","italic('L. guichenoti')","Red","CORT-Cold",31,0.5
"296","italic('L. guichenoti')","Red","CORT-Cold",32,0.75
"297","italic('L. guichenoti')","Red","CORT-Cold",33,0.75
"298","italic('L. guichenoti')","Red","CORT-Hot",1,0
"299","italic('L. guichenoti')","Red","CORT-Hot",2,0
"300","italic('L. guichenoti')","Red","CORT-Hot",3,0
"301","italic('L. guichenoti')","Red","CORT-Hot",4,0
"302","italic('L. guichenoti')","Red","CORT-Hot",5,0.333333333333333
"303","italic('L. guichenoti')","Red","CORT-Hot",6,0.75
"304","italic('L. guichenoti')","Red","CORT-Hot",7,0.75
"305","italic('L. guichenoti')","Red","CORT-Hot",8,0.75
"306","italic('L. guichenoti')","Red","CORT-Hot",9,0.6
"307","italic('L. guichenoti')","Red","CORT-Hot",10,0.8
"308","italic('L. guichenoti')","Red","CORT-Hot",11,0.75
"309","italic('L. guichenoti')","Red","CORT-Hot",12,0.5
"310","italic('L. guichenoti')","Red","CORT-Hot",13,0.4
"311","italic('L. guichenoti')","Red","CORT-Hot",14,0.4
"312","italic('L. guichenoti')","Red","CORT-Hot",15,0.2
"313","italic('L. guichenoti')","Red","CORT-Hot",16,0.8
"314","italic('L. guichenoti')","Red","CORT-Hot",17,0.6
"315","italic('L. guichenoti')","Red","CORT-Hot",18,0.6
"316","italic('L. guichenoti')","Red","CORT-Hot",19,0.6
"317","italic('L. guichenoti')","Red","CORT-Hot",20,0.8
"318","italic('L. guichenoti')","Red","CORT-Hot",21,0.8
"319","italic('L. guichenoti')","Red","CORT-Hot",22,0.4
"320","italic('L. guichenoti')","Red","CORT-Hot",23,0.4
"321","italic('L. guichenoti')","Red","CORT-Hot",24,1
"322","italic('L. guichenoti')","Red","CORT-Hot",25,0.8
"323","italic('L. guichenoti')","Red","CORT-Hot",26,0.6
"324","italic('L. guichenoti')","Red","CORT-Hot",27,0.6
"325","italic('L. guichenoti')","Red","CORT-Hot",28,0.8
"326","italic('L. guichenoti')","Red","CORT-Hot",29,0.8
"327","italic('L. guichenoti')","Red","CORT-Hot",30,0.4
"328","italic('L. guichenoti')","Red","CORT-Hot",31,0.8
"329","italic('L. guichenoti')","Red","CORT-Hot",32,0.8
"330","italic('L. guichenoti')","Red","CORT-Hot",33,0.8
"331","italic('L. guichenoti')","Red","Control-Cold",1,0
"332","italic('L. guichenoti')","Red","Control-Cold",2,0
"333","italic('L. guichenoti')","Red","Control-Cold",3,0
"334","italic('L. guichenoti')","Red","Control-Cold",4,0.5
"335","italic('L. guichenoti')","Red","Control-Cold",5,0
"336","italic('L. guichenoti')","Red","Control-Cold",6,0.333333333333333
"337","italic('L. guichenoti')","Red","Control-Cold",7,0
"338","italic('L. guichenoti')","Red","Control-Cold",8,0
"339","italic('L. guichenoti')","Red","Control-Cold",9,0
"340","italic('L. guichenoti')","Red","Control-Cold",10,0
"341","italic('L. guichenoti')","Red","Control-Cold",11,0.4
"342","italic('L. guichenoti')","Red","Control-Cold",12,0.4
"343","italic('L. guichenoti')","Red","Control-Cold",13,0.2
"344","italic('L. guichenoti')","Red","Control-Cold",14,0.6
"345","italic('L. guichenoti')","Red","Control-Cold",15,0.4
"346","italic('L. guichenoti')","Red","Control-Cold",16,0.4
"347","italic('L. guichenoti')","Red","Control-Cold",17,0.2
"348","italic('L. guichenoti')","Red","Control-Cold",18,0.4
"349","italic('L. guichenoti')","Red","Control-Cold",19,0.4
