"","Trial","Treatment","Group","Species","Mean_Predicted_prob","SE_Predicted_prob"
"133",9,"CORT-Hot","Blue","L. delicata",0.616747144043351,0.0761821002514994
"134",9,"CORT-Hot","Blue","L. guichenoti",0.688182482809255,0.0846856614422442
"135",9,"CORT-Hot","Red","L. delicata",0.471213019352685,0.0966226722196161
"136",9,"CORT-Hot","Red","L. guichenoti",0.361082871138255,0.0873768281425391
"137",9,"Control-Cold","Blue","L. delicata",0.754007541951014,0.0656485563065613
"138",9,"Control-Cold","Blue","L. guichenoti",0.649692681596202,0.108177519741477
"139",9,"Control-Cold","Red","L. delicata",0.402626312089432,0.0877258646223779
"140",9,"Control-Cold","Red","L. guichenoti",0.338369616617886,0.097199090324162
"141",9,"Control-Hot","Blue","L. delicata",0.604504696687946,0.0832806571824085
"142",9,"Control-Hot","Blue","L. guichenoti",0.63706815500197,0.0889412166659568
"143",9,"Control-Hot","Red","L. delicata",0.478456654278018,0.102333861146864
"144",9,"Control-Hot","Red","L. guichenoti",0.432363694663651,0.0933390102352434
"145",10,"CORT-Cold","Blue","L. delicata",0.674262059293206,0.07130729062707
"146",10,"CORT-Cold","Blue","L. guichenoti",0.513668617158984,0.0942880582706727
"147",10,"CORT-Cold","Red","L. delicata",0.296070729248068,0.0851470334345637
"148",10,"CORT-Cold","Red","L. guichenoti",0.184629223304101,0.0638698485618488
"149",10,"CORT-Hot","Blue","L. delicata",0.624220316960347,0.0731668961536445
"150",10,"CORT-Hot","Blue","L. guichenoti",0.708834851174891,0.0798543306432723
"151",10,"CORT-Hot","Red","L. delicata",0.486921023444254,0.0946411423500167
"152",10,"CORT-Hot","Red","L. guichenoti",0.377356566361171,0.0856514061644633
"153",10,"Control-Cold","Blue","L. delicata",0.753033160496073,0.0633524443435583
"154",10,"Control-Cold","Blue","L. guichenoti",0.653268294430625,0.105503860139644
"155",10,"Control-Cold","Red","L. delicata",0.415670405373886,0.0863859089079893
"156",10,"Control-Cold","Red","L. guichenoti",0.358914410983814,0.0960524036667225
"157",10,"Control-Hot","Blue","L. delicata",0.617020027085721,0.079871165894609
"158",10,"Control-Hot","Blue","L. guichenoti",0.651402864632654,0.0855180889714523
"159",10,"Control-Hot","Red","L. delicata",0.497977030795401,0.100026857906693
"160",10,"Control-Hot","Red","L. guichenoti",0.45042807859088,0.090785677012758
"161",11,"CORT-Cold","Blue","L. delicata",0.677147728205432,0.0687229160693445
"162",11,"CORT-Cold","Blue","L. guichenoti",0.53020336403426,0.0919725791525204
"163",11,"CORT-Cold","Red","L. delicata",0.316333594254531,0.0857304930160848
"164",11,"CORT-Cold","Red","L. guichenoti",0.201781509826652,0.0654575014130353
"165",11,"CORT-Hot","Blue","L. delicata",0.631627928896238,0.0704548142183951
"166",11,"CORT-Hot","Blue","L. guichenoti",0.728631496607779,0.0754746771452959
"167",11,"CORT-Hot","Red","L. delicata",0.502709526059469,0.0926764811024889
"168",11,"CORT-Hot","Red","L. guichenoti",0.394029456092689,0.0840435560913103
"169",11,"Control-Cold","Blue","L. delicata",0.751996972252235,0.0612803898017227
"170",11,"Control-Cold","Blue","L. guichenoti",0.656768403997349,0.103303145951348
"171",11,"Control-Cold","Red","L. delicata",0.428885270942607,0.08506924732373
"172",11,"Control-Cold","Red","L. guichenoti",0.380175377822053,0.0948745383698444
"173",11,"Control-Hot","Blue","L. delicata",0.629392322372303,0.0767693725500513
"174",11,"Control-Hot","Blue","L. guichenoti",0.66545797960591,0.0824689236231616
"175",11,"Control-Hot","Red","L. delicata",0.517583353323057,0.0976492443240043
"176",11,"Control-Hot","Red","L. guichenoti",0.468731662674578,0.0883496502596409
"177",12,"CORT-Cold","Blue","L. delicata",0.679984200227683,0.066474725126815
"178",12,"CORT-Cold","Blue","L. guichenoti",0.546704341020378,0.0899951851121594
"179",12,"CORT-Cold","Red","L. delicata",0.337420400472803,0.08614827776803
"180",12,"CORT-Cold","Red","L. guichenoti",0.220245394445141,0.0670550922739924
"181",12,"CORT-Hot","Blue","L. delicata",0.638961262161039,0.0680777015198707
"182",12,"CORT-Hot","Blue","L. guichenoti",0.747509532367004,0.0715562820687879
"183",12,"CORT-Hot","Red","L. delicata",0.51853898078598,0.0907539244820546
"184",12,"CORT-Hot","Red","L. guichenoti",0.41105693168489,0.0826188818721487
"185",12,"Control-Cold","Blue","L. delicata",0.750898349621824,0.0594628249217519
"186",12,"Control-Cold","Blue","L. guichenoti",0.660187149525741,0.101605345222607
"187",12,"Control-Cold","Red","L. delicata",0.442248851888067,0.0837968970643979
"188",12,"Control-Cold","Red","L. guichenoti",0.402072097988205,0.0937398148272609
"189",12,"Control-Hot","Blue","L. delicata",0.641595731205678,0.0740131388602946
"190",12,"Control-Hot","Blue","L. guichenoti",0.679199237080371,0.0798195824170673
"191",12,"Control-Hot","Red","L. delicata",0.537203413794898,0.0952364352394629
"192",12,"Control-Hot","Red","L. guichenoti",0.487208699438358,0.0861008582899562
"193",13,"CORT-Cold","Blue","L. delicata",0.682769111190186,0.0645924342146486
"194",13,"CORT-Cold","Blue","L. guichenoti",0.563115324892813,0.0883909221675712
"195",13,"CORT-Cold","Red","L. delicata",0.359270673527691,0.0864123977647345
"196",13,"CORT-Cold","Red","L. guichenoti",0.240037818623955,0.0686947768870396
"197",13,"CORT-Hot","Blue","L. delicata",0.64621198632945,0.0660633354887283
"198",13,"CORT-Hot","Blue","L. guichenoti",0.765424962972473,0.0680865584050261
"199",13,"CORT-Hot","Red","L. delicata",0.534369009526473,0.088897796458706
"200",13,"CORT-Hot","Red","L. guichenoti",0.42838847147506,0.0814435821318046
"201",13,"Control-Cold","Blue","L. delicata",0.749736800783895,0.0579309928481922
"202",13,"Control-Cold","Blue","L. guichenoti",0.663519171581768,0.100431670714273
"203",13,"Control-Cold","Red","L. delicata",0.455737654551587,0.0825902547110567
"204",13,"Control-Cold","Red","L. guichenoti",0.424508396605543,0.0927287364646371
"205",13,"Control-Hot","Blue","L. delicata",0.65360591982163,0.0716326971039331
"206",13,"Control-Hot","Blue","L. guichenoti",0.692596146490081,0.0775831627729856
"207",13,"Control-Hot","Red","L. delicata",0.556763911714385,0.0928235589049006
"208",13,"Control-Hot","Red","L. guichenoti",0.50578943011904,0.0841077216803854
"209",14,"CORT-Cold","Blue","L. delicata",0.685500280998468,0.0631017848590989
"210",14,"CORT-Cold","Blue","L. guichenoti",0.57938135730829,0.0871788760470948
"211",14,"CORT-Cold","Red","L. delicata",0.381809607423693,0.0865394349856816
"212",14,"CORT-Cold","Red","L. guichenoti",0.261154992745974,0.0704165226590673
"213",14,"CORT-Hot","Blue","L. delicata",0.653372221113737,0.0644334628042811
"214",14,"CORT-Hot","Blue","L. guichenoti",0.782351722130399,0.0650353529951777
"215",14,"CORT-Hot","Red","L. delicata",0.55015889786823,0.087130562168464
"216",14,"CORT-Hot","Red","L. guichenoti",0.445968219180166,0.0805795587761054
"217",14,"Control-Cold","Blue","L. delicata",0.748511977689788,0.0567156006049552
"218",14,"Control-Cold","Blue","L. guichenoti",0.666759666397723,0.0997929076968461
"219",14,"Control-Cold","Red","L. delicata",0.469326923022109,0.0814704045657771
"220",14,"Control-Cold","Red","L. guichenoti",0.447373666013311,0.0919208205161656
"221",14,"Control-Hot","Blue","L. delicata",0.665400344139367,0.0696483481431732
"222",14,"Control-Hot","Blue","L. guichenoti",0.705622296027385,0.0757590045741474
"223",14,"Control-Hot","Red","L. delicata",0.576191739654532,0.090443958424897
