lizard_id,position,species,sex,trt,clutch,age start,date_end_training,date_first_trial,days_since_training,group,trial_associative,position_feeder_associative,FC_associative,notes_associative,reinforcement,trial_reversal,position_feeder_reversal,FC_reversal,reinfor_reversal,notes_reversal,blue_asso
1531,D2,delicata,Male,A_23,CL414_22,85,27/3/2023,13/4/2023,17,B_R,2,R,0,,1,2,C,1,1,,NA
1371,D3,guichenoti,Male,A_23,CL370_22,94,27/3/2023,13/4/2023,17,B_R,2,C,NA,,0,2,R,0,1,,NA
1459,D3,guichenoti,Male,B_23,CL394_22,92,8/4/2023,13/4/2023,5,B_R,2,L,NA,,0,2,L,0,1,,NA
1166,D4,delicata,Female,A_28,CL312_22,143,4/4/2023,13/4/2023,9,R_B,2,R,0,,1,2,R,0,1,,NA
1192,D4,delicata,Male,A_23,CL317_22,120,29/3/2023,13/4/2023,15,R_B,2,C,0,,1,2,L,1,1,,NA
1229,D4,delicata,Male,B_28,CL326_22,129,29/3/2023,13/4/2023,15,R_B,2,L,NA,More than one cricket eaten,1,2,L,0,1,,NA
1257,D4,delicata,Male,B_23,CL334_22,111,27/3/2023,13/4/2023,17,B_R,2,L,NA,,0,2,C,1,1,,NA
1442,E1,guichenoti,Male,B_23,CL388_22,94,21/3/2023,13/4/2023,23,B_R,2,C,0,,1,2,R,0,0,,NA
1565,E1,guichenoti,Female,B_28,CL424_22,101,29/3/2023,13/4/2023,15,R_B,2,R,NA,,0,2,L,0,1,,NA
1174,E2,delicata,Male,A_23,CL313_22,132,31/3/2023,13/4/2023,13,R_B,2,L,0,,1,2,R,1,1,,NA
1402,E2,delicata,Male,A_28,CL377_22,118,1/4/2023,13/4/2023,12,R_B,2,R,0,,0,2,L,0,1,,NA
2255,E2,delicata,Female,B_28,CL607_22,66,2/4/2023,13/4/2023,11,B_R,2,C,NA,,0,2,C,0,1,,NA
1218,E3,guichenoti,Female,A_28,CL324_22,132,21/3/2023,13/4/2023,23,R_B,2,C,NA,,0,2,R,1,1,,NA
1443,E3,guichenoti,Male,A_23,CL388_22,94,20/3/2023,13/4/2023,24,R_B,2,R,0,,1,2,C,1,1,,NA
2164,E3,guichenoti,Female,B_23,CL584_22,48,20/3/2023,13/4/2023,24,B_R,2,C,NA,,0,2,L,0,0,,NA
1172,E4,delicata,Male,B_28,CL313_22,148,10/4/2023,13/4/2023,3,R_B,2,C,NA,,0,2,R,1,0,Correct choice but did not eat,NA
1239,E4,delicata,Female,A_23,CL329_22,113,30/3/2023,13/4/2023,14,B_R,2,C,NA,,0,2,L,0,1,,NA
2346,E4,delicata,Female,B_23,CL633_23,41,11/4/2023,13/4/2023,2,B_R,2,R,NA,,0,2,C,0,0,,NA
1230,F1,delicata,Female,B_28,CL327_22,132,29/3/2023,13/4/2023,15,B_R,2,R,0,,1,2,R,0,1,,NA
1487,F1,delicata,Male,A_23,CL402_22,85,20/3/2023,13/4/2023,24,B_R,2,L,NA,,0,2,C,0,0,,NA
2351,F1,delicata,Male,A_28,CL634_23,59,6/4/2023,13/4/2023,7,B_R,2,L,1,,1,2,L,0,1,,NA
1419,F2,guichenoti,Female,A_28,CL382_22,118,20/3/2023,13/4/2023,24,B_R,2,L,0,,0,2,R,0,1,,NA
1534,F2,guichenoti,Female,A_23,CL415_22,85,20/3/2023,13/4/2023,24,R_B,2,C,0,,1,2,C,0,1,,NA
1580,F2,guichenoti,Female,B_28,CL428_22,99,20/3/2023,13/4/2023,24,R_B,2,L,0,,1,2,L,0,1,,NA
1613,F2,guichenoti,Male,B_23,CL439_22,80,29/3/2023,13/4/2023,15,R_B,2,R,0,,0,2,R,1,1,,NA
1182,F3,delicata,Male,B_23,CL315_22,122,29/3/2023,13/4/2023,15,R_B,2,C,0,,1,2,L,0,1,,NA
1424,F3,delicata,Female,A_23,CL383_22,97,31/3/2023,13/4/2023,13,B_R,2,L,NA,,1,2,C,1,1,,NA
2106,F3,delicata,Female,A_28,CL569_22,78,9/4/2023,13/4/2023,4,B_R,2,R,NA,More than one cricket eaten,0,2,R,0,0,,NA
2486,F3,delicata,Female,B_28,CL677_23,45,2/4/2023,13/4/2023,11,B_R,2,C,1,,1,2,C,0,0,,NA
1340,F4,guichenoti,Female,B_28,CL360_22,122,6/4/2023,13/4/2023,7,R_B,2,R,0,,1,2,L,0,1,,NA
1417,F4,guichenoti,Female,B_28,CL381_22,97,20/3/2023,13/4/2023,24,R_B,2,C,NA,,0,2,C,0,1,,NA
1467,F4,guichenoti,Female,A_28,CL397_22,111,20/3/2023,13/4/2023,24,R_B,2,C,1,,1,2,R,0,1,,NA
1421,G1,guichenoti,Male,B_23,CL382_22,97,20/3/2023,13/4/2023,24,R_B,2,L,0,,1,2,L,0,1,,NA
1674,G1,guichenoti,Female,B_23,CL455_22,94,6/4/2023,13/4/2023,7,R_B,2,L,NA,,0,2,R,0,1,,NA
2009,G1,guichenoti,Male,A_28,CL542_22,78,3/4/2023,13/4/2023,10,B_R,2,R,NA,,0,2,C,1,1,,NA
1258,G2,delicata,Female,A_28,CL334_22,129,28/3/2023,13/4/2023,16,B_R,2,C,0,,1,2,R,1,1,,NA
1328,G2,delicata,Male,A_23,CL357_22,108,5/4/2023,13/4/2023,8,R_B,2,R,NA,,0,2,C,1,1,,NA
1408,G2,delicata,Female,B_28,CL379_22,120,28/3/2023,13/4/2023,16,R_B,2,C,0,,0,2,L,0,1,,NA
1360,G3,guichenoti,Female,A_28,CL366_22,120,21/3/2023,13/4/2023,23,R_B,2,R,NA,,0,2,C,1,1,,NA
