id,...1,...2,Lizard_id,Distance moved,Movement...5,Movement...6,...3
Statistics-Activity_trial01.xlsx,Trial    26,Arena 1,2422,202.774,27.7605,1167.22,NA
Statistics-Activity_trial01.xlsx,Trial    26,Arena 2,1334,153.24,14.3203,1067.54,NA
Statistics-Activity_trial01.xlsx,Trial    26,Arena 3,1619,526.15899999999999,72.441500000000005,1124.3,NA
Statistics-Activity_trial01.xlsx,Trial    26,Arena 4,1223,467.38600000000002,66.441299999999998,1133.58,NA
Statistics-Activity_trial01.xlsx,Trial    27,Arena 1,1674,1065.58,147.19999999999999,1052.8399999999999,NA
Statistics-Activity_trial01.xlsx,Trial    27,Arena 2,2009,778.76400000000001,78.599800000000002,1121.44,NA
Statistics-Activity_trial01.xlsx,Trial    27,Arena 3,1421,608.61199999999997,83.519800000000004,1115.48,NA
Statistics-Activity_trial01.xlsx,Trial    27,Arena 4,1466,1226.6099999999999,172.88,977.23800000000006,NA
Statistics-Activity_trial01.xlsx,Trial    28,Arena 1,1360,258.94499999999999,34.201500000000003,1165.81,NA
Statistics-Activity_trial01.xlsx,Trial    28,Arena 2,2081,829.01099999999997,127.485,1072.53,NA
Statistics-Activity_trial01.xlsx,Trial    28,Arena 3,1795,922.16399999999999,124.645,1075.3699999999999,NA
Statistics-Activity_trial02.xlsx,Trial     1,Arena 1,NA,95.5904,11.1603,1007.03,1410
Statistics-Activity_trial02.xlsx,Trial     1,Arena 2,NA,317.127,45.2011,1142.55,1255
Statistics-Activity_trial02.xlsx,Trial     1,Arena 3,NA,303.413,46.6812,1147.51,2073
Statistics-Activity_trial02.xlsx,Trial     1,Arena 4,NA,280.49,23.4006,1176.63,1382
Statistics-Activity_trial02.xlsx,Trial     2,Arena 1,NA,114.214,13.96,800.998,1478
Statistics-Activity_trial02.xlsx,Trial     2,Arena 2,NA,213.609,26.5999,979.558,1373
Statistics-Activity_trial02.xlsx,Trial     2,Arena 3,NA,16.8264,0,1006.56,2298
Statistics-Activity_trial02.xlsx,Trial     3,Arena 1,NA,167.347,27.8399,1172.2,1401
Statistics-Activity_trial02.xlsx,Trial     3,Arena 2,NA,229.056,36.3599,1059.04,1381
Statistics-Activity_trial02.xlsx,Trial     3,Arena 3,NA,374.803,39.9999,1103.48,1207
Statistics-Activity_trial02.xlsx,Trial     4,Arena 1,NA,137.1,18.36,1181.68,1283
Statistics-Activity_trial02.xlsx,Trial     4,Arena 2,NA,469.357,70.5998,1045.64,1609
Statistics-Activity_trial02.xlsx,Trial     4,Arena 4,NA,741.135,87.5998,1058,1562
Statistics-Activity_trial02.xlsx,Trial     5,Arena 1,NA,368.993,66.8087,1124.75,1438
Statistics-Activity_trial02.xlsx,Trial     5,Arena 3,NA,1.78399,0,335.244,1276
Statistics-Activity_trial02.xlsx,Trial     6,Arena 1,NA,199.064,38.641,728.178,1198
Statistics-Activity_trial02.xlsx,Trial     6,Arena 2,NA,338.612,48.7212,1047.15,1233
Statistics-Activity_trial02.xlsx,Trial     6,Arena 3,NA,423.333,66.4817,1046.91,1284
Statistics-Activity_trial02.xlsx,Trial     6,Arena 4,NA,311.516,37.9209,976.824,1240
Statistics-Activity_trial02.xlsx,Trial     7,Arena 3,NA,Na,Na,Na,2047
Statistics-Activity_trial02.xlsx,Trial     7,Arena 4,NA,403.273,64.8034,965.051,1432
Statistics-Activity_trial02.xlsx,Trial     8,Arena 1,NA,575.409,80.642,1086.39,1205
Statistics-Activity_trial02.xlsx,Trial     8,Arena 2,NA,Na,Na,Na,1296
Statistics-Activity_trial02.xlsx,Trial     8,Arena 3,NA,365.879,55.1214,1021.39,1399
Statistics-Activity_trial02.xlsx,Trial     9,Arena 1,NA,287.631,47.7999,834.198,1374
Statistics-Activity_trial02.xlsx,Trial     9,Arena 2,NA,63.136,11.6,870.398,1463
